name,isin,type,dtcreated
Berentzen-Gruppe Aktiengesellschaft,DE0005201602,0,2016-02-01 12:08:05
Scout24 AG,DE000A12DM80,0,2016-02-01 12:50:05
Scout24 AG,DE000A12DM80,0,2016-02-01 12:50:05
GK Software SE,DE0007571424,0,2016-02-01 16:09:02
GK Software SE,DE0007571424,0,2016-02-01 16:09:02
Syzygy AG,DE0005104806,0,2016-02-01 17:41:01
Syzygy AG,DE0005104806,0,2016-02-01 17:41:01
Accu Holding AG,CH0001366332,0,2016-02-01 17:59:08
Accu Holding AG,CH0001366332,0,2016-02-01 17:59:08
DEPFA ACS BANK DAC,noisin367155,0,2016-02-01 18:51:10
Raiffeisen Bank International AG,AT0000606306,0,2016-02-01 19:01:16
Raiffeisen Bank International AG,AT0000606306,0,2016-02-01 19:01:16
BayWa AG,DE0005194062,0,2016-02-02 07:35:41
BayWa AG,DE0005194062,0,2016-02-02 07:35:41
IMMOFINANZ AG,AT0000A21KS2,0,2016-02-02 08:25:31
IMMOFINANZ AG,AT0000A21KS2,0,2016-02-02 08:25:31
Beate Uhse Aktiengesellschaft,DE0007551400,0,2016-02-02 11:27:15
EnBW Energie Baden-Württemberg AG,DE0005220008,0,2016-02-02 12:06:16
DEPFA ACS BANK DAC,noisin367155,0,2016-02-02 14:18:40
Wild Bunch AG,DE000A2TSU21,0,2016-02-02 15:34:36
Wild Bunch AG,DE000A2TSU21,0,2016-02-02 15:34:36
SLM Solutions Group AG,DE000A111338,0,2016-02-02 15:44:56
SLM Solutions Group AG,DE000A111338,0,2016-02-02 15:44:56
HIGHLIGHT COMMUNICATIONS AG,CH0006539198,0,2016-02-02 16:32:36
HIGHLIGHT COMMUNICATIONS AG,CH0006539198,0,2016-02-02 16:32:36
Highlight Event and Entertainment AG,CH0003583256,0,2016-02-02 16:53:48
Drägerwerk AG & Co. KGaA,DE0005550602,0,2016-02-02 18:32:02
Drägerwerk AG & Co. KGaA,DE0005550602,0,2016-02-02 18:32:02
MAX Automation SE,DE000A2DA588,0,2016-02-03 08:30:25
MAX Automation SE,DE000A2DA588,0,2016-02-03 08:30:25
B.R.A.I.N. Biotechnology Research And Information Network AG,DE0005203947,0,2016-02-03 18:40:05
B.R.A.I.N. Biotechnology Research And Information Network AG,DE0005203947,0,2016-02-03 18:40:05
msg life ag,DE0005130108,0,2016-02-04 12:34:51
msg life ag,DE0005130108,0,2016-02-04 12:34:51
init innovation in traffic systems SE,DE0005759807,0,2016-02-04 15:42:11
init innovation in traffic systems SE,DE0005759807,0,2016-02-04 15:42:11
GRENKE AG,DE000A161N30,0,2016-02-04 16:29:51
GRENKE AG,DE000A161N30,0,2016-02-04 16:29:51
DEAG Deutsche Entertainment Aktiengesellschaft,DE000A0Z23G6,0,2016-02-04 16:30:36
DEAG Deutsche Entertainment Aktiengesellschaft,DE000A0Z23G6,0,2016-02-04 16:30:36
IMMOFINANZ AG,AT0000A21KS2,0,2016-02-04 18:19:47
IMMOFINANZ AG,AT0000A21KS2,0,2016-02-04 18:19:47
Eurohypo Capital Funding Trust II,DE000A0DZJZ7,0,2016-02-04 20:25:31
Eurohypo Capital Funding Trust II,DE000A0DZJZ7,0,2016-02-04 20:25:31
Singulus Technologies AG,DE000A1681X5,0,2016-02-04 21:45:35
Singulus Technologies AG,DE000A1681X5,0,2016-02-04 21:45:35
OVB Holding AG,DE0006286560,0,2016-02-05 08:07:01
OVB Holding AG,DE0006286560,0,2016-02-05 08:07:01
MAX Automation SE,DE000A2DA588,0,2016-02-05 13:29:37
MAX Automation SE,DE000A2DA588,0,2016-02-05 13:29:37
Volkswagen AG,DE0007664039,0,2016-02-05 14:02:04
Volkswagen AG,DE0007664039,0,2016-02-05 14:02:04
Porsche Automobil Holding SE,DE000PAH0038,0,2016-02-05 14:07:42
Porsche Automobil Holding SE,DE000PAH0038,0,2016-02-05 14:07:42
IFA Hotel & Touristik AG,DE0006131204,0,2016-02-05 17:37:16
Bilfinger SE,DE0005909006,0,2016-02-06 04:44:02
Bilfinger SE,DE0005909006,0,2016-02-06 04:44:02
Private Equity Holding AG,CH0006089921,0,2016-02-08 08:00:00
Private Equity Holding AG,CH0006089921,0,2016-02-08 08:00:00
Accu Holding AG,CH0001366332,0,2016-02-08 17:40:08
Accu Holding AG,CH0001366332,0,2016-02-08 17:40:08
Deutsche Bank AG,DE0005140008,0,2016-02-08 19:48:37
Deutsche Bank AG,DE0005140008,0,2016-02-08 19:48:37
Orascom Development Holding AG,CH0038285679,0,2016-02-09 07:00:10
Orascom Development Holding AG,CH0038285679,0,2016-02-09 07:00:10
LifeWatch AG,CH0012815459,0,2016-02-09 07:00:13
LifeWatch AG,CH0012815459,0,2016-02-09 07:00:13
PSI Software AG,DE000A0Z1JH9,0,2016-02-09 16:35:56
PSI Software AG,DE000A0Z1JH9,0,2016-02-09 16:35:56
PAION AG,DE000A0B65S3,0,2016-02-09 20:07:01
PAION AG,DE000A0B65S3,0,2016-02-09 20:07:01
Vonovia SE,DE000A1ML7J1,0,2016-02-10 12:50:56
Vonovia SE,DE000A1ML7J1,0,2016-02-10 12:50:56
United Internet AG,DE0005089031,0,2016-02-10 19:44:31
United Internet AG,DE0005089031,0,2016-02-10 19:44:31
Singulus Technologies AG,DE000A1681X5,0,2016-02-10 21:47:16
Singulus Technologies AG,DE000A1681X5,0,2016-02-10 21:47:16
Mobimo Holding AG,CH0011108872,0,2016-02-11 07:00:09
Mobimo Holding AG,CH0011108872,0,2016-02-11 07:00:09
Mobimo Holding AG,CH0011108872,0,2016-02-11 07:00:09
Biotest AG,DE0005227235,0,2016-02-11 08:29:31
Biotest AG,DE0005227235,0,2016-02-11 08:29:31
Basler AG,DE0005102008,0,2016-02-11 10:16:06
Basler AG,DE0005102008,0,2016-02-11 10:16:06
Gesco AG,DE000A1K0201,0,2016-02-11 14:06:15
Gesco AG,DE000A1K0201,0,2016-02-11 14:06:15
Biotest AG,DE0005227235,0,2016-02-11 15:52:07
Biotest AG,DE0005227235,0,2016-02-11 15:52:07
Mars One Ventures AG,CH0132106482,0,2016-02-11 18:28:46
Singulus Technologies AG,DE000A1681X5,0,2016-02-11 20:21:01
Singulus Technologies AG,DE000A1681X5,0,2016-02-11 20:21:01
SinnerSchrader AG,DE0005141907,0,2016-02-11 21:06:06
SinnerSchrader AG,DE0005141907,0,2016-02-11 21:06:06
Zug Estates Holding AG,CH0148052126,0,2016-02-12 06:55:08
Zug Estates Holding AG,CH0148052126,0,2016-02-12 06:55:08
Westag & Getalit AG,DE0007775231,0,2016-02-12 12:15:12
Westag & Getalit AG,DE0007775231,0,2016-02-12 12:15:12
EASY SOFTWARE AG,DE000A2YN991,0,2016-02-12 12:38:26
EASY SOFTWARE AG,DE000A2YN991,0,2016-02-12 12:38:26
EASY SOFTWARE AG,DE000A2YN991,0,2016-02-12 13:49:56
EASY SOFTWARE AG,DE000A2YN991,0,2016-02-12 13:49:56
Deutsche Bank AG,DE0005140008,0,2016-02-12 14:23:32
Deutsche Bank AG,DE0005140008,0,2016-02-12 14:23:32
KHD Humboldt Wedag International AG,DE0006578008,0,2016-02-12 14:29:45
KHD Humboldt Wedag International AG,DE0006578008,0,2016-02-12 14:29:45
Hypoport AG,DE0005493365,0,2016-02-12 16:38:35
Hypoport AG,DE0005493365,0,2016-02-12 16:38:35
Elanix Biotechnologies AG,DE000A0WMJQ4,0,2016-02-15 10:10:55
